单位:美元,至2019-03-31,至2018-12-31,至2018-09-30,至2018-06-30,至2018-03-31
流动资产,36.78亿,42.42亿,36.07亿,35.34亿,35.59亿
现金及短期投资,8.97亿,12.57亿,8.51亿,9.41亿,8.58亿
短期应收账款,21.65亿,24.43亿,22.15亿,20.22亿,20.74亿
存货,4.25亿,3.56亿,3.67亿,3.91亿,4.41亿
其他流动资产,1.91亿,1.86亿,1.74亿,1.80亿,1.86亿
非流动资产,63.15亿,51.67亿,53.56亿,53.47亿,54.92亿
厂房及设备净资产,9.37亿,8.95亿,8.92亿,8.95亿,9.00亿
项目总投资及垫款,1.63亿,1.69亿,1.76亿,1.72亿,1.74亿
长期应收票据,1.60亿,1.37亿,1.96亿,1.91亿,1.93亿
无形资产,32.76亿,27.44亿,28.38亿,28.68亿,29.71亿
递延所得税资产,9.53亿,9.85亿,9.49亿,9.45亿,9.73亿
其他资产,8.26亿,2.37亿,3.05亿,2.76亿,2.81亿
合计总资产,99.93亿,94.09亿,89.63亿,88.81亿,90.51亿
流动负债,29.79亿,30.96亿,30.88亿,29.22亿,30.96亿
短期债务（含部分LTD）,2 800.00万,3 100.00万,3.37亿,3.47亿,4.92亿
应付账款,5.58亿,5.92亿,4.56亿,4.30亿,4.63亿
应付所得税,9 400.00万,--,--,--,--
其他流动负债,22.99亿,24.73亿,22.95亿,21.45亿,21.41亿
非流动负债,81.04亿,75.89亿,72.70亿,74.51亿,74.94亿
长期负债,52.87亿,52.89亿,50.95亿,52.98亿,53.04亿
拨备风险及费用,15.81亿,16.08亿,14.97亿,15.16亿,15.60亿
递延所得税负债,2.22亿,2.01亿,2.34亿,2.40亿,2.48亿
其他负债,10.14亿,4.91亿,4.44亿,3.97亿,3.82亿
合计总负债,110.83亿,106.85亿,103.58亿,103.73亿,105.90亿
股东权益合计,-11.08亿,-12.93亿,-14.11亿,-15.07亿,-15.54亿
非股权储备,--,--,--,--,--
优先股-账面价值,0.00,0.00,0.00,0.00,0.00
普通股权益（合计）,-11.08亿,-12.93亿,-14.11亿,-15.07亿,-15.54亿
累计少数股东权益,1 800.00万,1 700.00万,1 600.00万,1 500.00万,1 500.00万
权益总额,-10.90亿,-12.76亿,-13.95亿,-14.92亿,-15.39亿
负债与股东权益合计,99.93亿,94.09亿,89.63亿,88.81亿,90.51亿
每股账面价值,-6.72,-7.91,-8.63,-9.29,-9.59
每股账面价值-有形,-26.60,-24.69,-25.99,-26.96,-27.91
